datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2015-03-25	49.905833333333334	55.877916666666664	62.76208333333333	54.3975	55.11375	53.115	60.600833333333334	50.718333333333334	55.83541666666667	25.0	2.0	11.5
2015-03-26	52.86833333333333	56.865833333333335	62.55625	55.22875	56.07	53.23791666666667	60.806666666666665	53.09166666666667	58.208333333333336	26.0	3.0	11.5
2015-03-27	47.09166666666667	55.089166666666664	62.303333333333335	54.083333333333336	53.718333333333334	52.081250000000004	60.22291666666666	49.49333333333333	56.069583333333334	27.0	4.0	11.5
2015-03-28	70.09	57.86125	61.629375	58.198125	57.663125	53.271875	60.49625	56.494375	59.781875	28.0	5.0	8.5
2015-03-29	63.71333333333333	57.10333333333333	60.54666666666666	56.123333333333335	57.406666666666666	49.126666666666665	58.79333333333333	56.13666666666666	60.22666666666667	29.0	6.0	2.6666666666666665
2015-03-30	56.633	58.19	62.87950000000001	56.9905	57.117	53.6115	61.88199999999999	54.302499999999995	58.6675	30.0	0.0	11.5
2015-03-31	68.16625	59.91375	63.20583333333334	57.856249999999996	58.072916666666664	55.38625	62.13166666666667	58.05708333333334	66.21708333333333	31.0	1.0	11.5
2015-04-01	56.58416666666667	57.65125	62.155833333333334	56.305416666666666	56.831250000000004	53.32208333333333	61.23791666666667	53.69	62.63708333333333	1.0	2.0	11.5
2015-04-02	48.423750000000005	56.62875	64.79041666666667	55.784166666666664	53.72208333333333	55.25208333333333	62.06666666666666	50.4675	57.50833333333333	2.0	3.0	11.5
2015-04-03	46.55666666666667	57.06916666666667	62.94541666666667	54.286249999999995	55.74041666666667	53.24583333333334	60.60166666666667	51.812916666666666	58.99916666666667	3.0	4.0	11.5
2015-04-04	40.652499999999996	54.97833333333333	61.28375	58.76833333333334	53.04416666666666	51.43	58.85791666666666	49.032916666666665	55.19958333333333	4.0	5.0	11.5
2015-04-05	42.21	51.593333333333334	58.337777777777774	54.30444444444444	51.57111111111111	48.385555555555555	56.406666666666666	44.38111111111111	50.84777777777778	5.0	6.0	5.0
2015-04-06												
2015-04-07	45.808	55.424	63.925333333333334	55.4	54.746	53.80266666666667	62.160666666666664	51.63	57.92066666666666	7.0	1.0	15.4
2015-04-08	47.22416666666666	54.51416666666666	62.225	56.240833333333335	53.04291666666666	52.07416666666666	60.03041666666667	49.37041666666667	55.611250000000005	8.0	2.0	11.5
2015-04-09	47.731249999999996	54.2525	61.37583333333333	54.66458333333333	54.229166666666664	51.968333333333334	59.1775	48.97416666666667	55.040416666666665	9.0	3.0	11.5
2015-04-10	51.48083333333333	54.89416666666667	61.82333333333333	57.17541666666667	54.31375	51.98708333333334	59.666666666666664	51.087916666666665	57.80125	10.0	4.0	11.5
2015-04-11	60.7225	57.00125	61.36958333333333	55.51833333333334	56.638749999999995	52.88708333333333	60.34	53.486250000000005	60.66	11.0	5.0	11.5
