datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2015-01-01	66.71181818181819	58.92090909090909	62.944545454545455	59.31636363636364	58.42	54.98454545454546	61.55	58.67181818181818	59.88181818181818	1.0	3.0	12.545454545454545
2015-01-02	61.86818181818182	55.22	59.224545454545456	53.378181818181815	54.304545454545455	49.79818181818182	58.31909090909091	50.53727272727272	55.342727272727274	2.0	4.0	12.545454545454545
2015-01-03	47.2109090909091	56.01	61.64454545454546	53.64545454545455	54.72909090909091	54.158181818181816	59.23909090909091	49.391818181818174	56.025454545454544	3.0	5.0	12.545454545454545
2015-01-04	45.445	56.492999999999995	62.309000000000005	54.793000000000006	55.717	51.979	59.42100000000001	50.284000000000006	56.462	4.0	6.0	11.5
2015-01-05	54.24090909090909	53.777272727272724	60.208181818181814	54.47	53.61181818181819	50.28272727272727	58.40090909090909	48.302727272727275	54.38181818181818	5.0	0.0	12.545454545454545
2015-01-06	55.438	54.684000000000005	59.098	53.322	52.940999999999995	49.799	57.786	49.227	53.857000000000006	6.0	1.0	11.5
2015-01-07	64.95454545454545	57.03727272727272	60.13818181818181	55.63636363636363	55.8	51.10181818181818	59.30181818181818	53.062727272727265	56.61545454545455	7.0	2.0	12.545454545454545
2015-01-08	66.94454545454545	56.958181818181814	60.51727272727273	57.25363636363636	56.33	51.091818181818184	59.43363636363636	55.91545454545455	58.56363636363637	8.0	3.0	12.545454545454545
2015-01-09	83.3509090909091	58.51636363636363	61.688181818181825	59.31636363636364	57.53	56.13999999999999	62.36545454545455	61.279090909090904	60.32818181818182	9.0	4.0	12.545454545454545
2015-01-10	77.86555555555555	59.09888888888889	62.84444444444445	59.129999999999995	58.452222222222225	55.95222222222222	61.02000000000001	59.166666666666664	59.91777777777778	10.0	5.0	10.333333333333334
2015-01-11	62.46	54.565999999999995	58.160000000000004	52.839999999999996	55.364	48.622	57.946000000000005	51.698	55.348	11.0	6.0	3.0
2015-01-12	80.53	57.90599999999999	60.938	60.656000000000006	56.64	52.965999999999994	58.903999999999996	62.584	60.964	12.0	0.0	3.0
2015-01-13	65.83200000000001	55.125	59.455999999999996	54.172000000000004	54.688	50.506	58.831	51.085	55.129	13.0	1.0	11.5
2015-01-14	68.45454545454545	58.096363636363634	60.99454545454545	57.69909090909091	57.52272727272727	52.91090909090909	60.23818181818182	58.408181818181816	58.878181818181815	14.0	2.0	12.545454545454545
2015-01-15	76.08083333333333	57.594166666666666	62.2575	57.788333333333334	57.5375	54.626666666666665	60.04416666666666	57.08916666666667	60.45916666666667	15.0	3.0	11.5
2015-01-16	54.942499999999995	56.215833333333336	60.77	54.267500000000005	55.85333333333333	51.14416666666667	59.692499999999995	51.5275	56.23	16.0	4.0	11.5
2015-01-17	50.0275	57.053333333333335	62.1925	54.208333333333336	56.369166666666665	51.583333333333336	59.86916666666667	51.27166666666667	56.73083333333333	17.0	5.0	11.5
2015-01-18	42.7275	56.137499999999996	62.72	51.47083333333333	55.178333333333335	51.317499999999995	59.19	49.00666666666667	56.6975	18.0	6.0	11.5
