datetime	laeq_BullIsland2	laeq_Ballyferm3	laeq_Ballymun4	laeq_DCCRowingClub5	laeq_NavanRoad8	laeq_Raheny9	laeq_ChanceryPark11	laeq_BlessingtonBasin12	laeq_DolphinsBarn13	day_of_month	day_of_week	hour_of_day
2015-01-01	62.955000000000005	58.946666666666665	61.66583333333333	59.30416666666667	58.78666666666667	54.145	60.335	57.72666666666667	61.505833333333335	1.0	3.0	11.5
2015-01-02	62.17083333333334	58.85333333333333	62.655833333333334	56.53666666666667	57.66416666666667	53.899166666666666	61.696666666666665	54.51333333333333	57.90166666666667	2.0	4.0	11.5
2015-01-03	47.07666666666666	57.800000000000004	64.37916666666666	54.7125	55.26499999999999	56.97833333333333	61.66833333333333	51.086666666666666	57.455000000000005	3.0	5.0	11.5
2015-01-04	49.04750000000001	57.17416666666667	62.97666666666667	57.44416666666667	56.1275	54.5225	59.62166666666667	51.612500000000004	55.74333333333334	4.0	6.0	11.5
2015-01-05	54.32750000000001	58.629999999999995	64.72	58.69	56.85833333333333	56.56916666666667	62.26583333333334	53.30166666666667	58.32	5.0	0.0	11.5
2015-01-06	56.06333333333333	60.34	63.7575	57.585	58.0925	55.6775	62.82749999999999	55.2275	59.34833333333333	6.0	1.0	11.5
2015-01-07	72.11833333333334	61.68333333333334	64.83749999999999	61.82416666666666	60.6325	56.49916666666667	63.64416666666667	59.5025	64.21916666666667	7.0	2.0	11.5
2015-01-08	55.083333333333336	60.564166666666665	63.90833333333333	57.91	58.31666666666666	55.11083333333334	63.156666666666666	57.1025	59.61416666666667	8.0	3.0	11.5
2015-01-09	71.4475	61.94166666666666	64.73666666666666	60.8375	59.915	57.24166666666667	63.629999999999995	60.32916666666667	61.24	9.0	4.0	11.5
2015-01-10	69.44500000000001	60.68083333333333	63.59083333333333	58.32583333333333	59.09583333333333	55.86083333333334	61.939166666666665	57.791666666666664	60.04916666666667	10.0	5.0	11.5
2015-01-11	70.68916666666667	58.836666666666666	62.12583333333333	57.7125	58.0725	53.129999999999995	60.784166666666664	57.19166666666666	57.33166666666667	11.0	6.0	11.5
2015-01-12												
2015-01-13	71.85166666666667	60.20666666666667	62.94166666666666	58.93666666666667	58.965	54.04666666666666	62.74583333333334	55.854166666666664	59.62083333333334	13.0	1.0	11.5
2015-01-14	65.64583333333333	60.70166666666666	64.3975	60.73916666666667	58.810833333333335	55.79666666666666	62.85583333333333	56.935833333333335	60.07666666666666	14.0	2.0	11.5
2015-01-15	87.52	62.48583333333334	66.105	62.890833333333326	61.375	58.805	64.18583333333333	63.32333333333333	65.36083333333333	15.0	3.0	11.5
2015-01-16	54.13666666666666	60.689166666666665	64.785	57.37083333333334	58.38833333333333	56.54833333333334	63.40083333333333	55.031666666666666	60.3025	16.0	4.0	11.5
2015-01-17	54.284166666666664	59.392500000000005	63.21333333333333	57.4675	57.85999999999999	54.14416666666667	61.39416666666667	53.0975	58.15083333333333	17.0	5.0	11.5
2015-01-18	46.005833333333335	57.833333333333336	63.862500000000004	53.74916666666667	55.73166666666666	54.669999999999995	59.729166666666664	51.50583333333333	56.973333333333336	18.0	6.0	11.5
2015-01-19	46.375	58.97833333333333	64.64333333333333	55.56	56.288333333333334	54.845	63.093333333333334	51.6475	58.987500000000004	19.0	0.0	11.5
2015-01-20	52.405	59.0025	65.06166666666667	58.6225	56.1525	57.1625	62.605	52.27166666666667	57.903333333333336	20.0	1.0	11.5
2015-01-21	44.025	60.267500000000005	65.385	55.76833333333334	56.685	59.24916666666667	62.91416666666667	53.94083333333333	59.9175	21.0	2.0	11.5
2015-01-22	44.1525	58.998333333333335	65.04416666666667	55.445	55.34583333333333	56.405833333333334	62.755833333333335	53.774166666666666	58.94166666666666	22.0	3.0	11.5
2015-01-23	53.80416666666667	60.60833333333333	64.665	59.446666666666665	58.46	56.16916666666666	63.09916666666666	56.85666666666666	60.01083333333333	23.0	4.0	11.5
2015-01-24	48.208333333333336	59.86666666666667	64.60583333333334	56.083333333333336	57.885	54.659166666666664	61.7425	53.26499999999999	58.028333333333336	24.0	5.0	11.5
2015-01-25	51.68666666666667	57.850833333333334	62.33083333333334	56.442499999999995	57.14416666666667	53.3425	59.6675	52.86166666666667	56.06333333333333	25.0	6.0	11.5
2015-01-26	50.1875	59.90833333333333	64.2325	56.682500000000005	57.744166666666665	56.15166666666667	62.865833333333335	56.82416666666666	59.75416666666666	26.0	0.0	11.5
2015-01-27	50.96666666666667	60.07333333333333	63.48666666666667	57.17916666666667	57.57333333333333	54.600833333333334	62.685	58.81583333333333	58.89166666666667	27.0	1.0	11.5
2015-01-28	72.71666666666667	62.01666666666667	64.23916666666666	60.12416666666667	59.40833333333333	57.07666666666666	63.5925	61.215833333333336	61.97333333333333	28.0	2.0	11.5
2015-01-29	61.905	61.11666666666667	64.45833333333333	58.215	59.08833333333334	56.69583333333333	63.61083333333334	57.81666666666666	60.75833333333333	29.0	3.0	11.5
2015-01-30	53.27666666666667	61.163333333333334	64.61666666666666	56.905	58.017500000000005	56.10583333333333	62.8725	58.7125	60.04916666666667	30.0	4.0	11.5
2015-01-31	50.14333333333334	59.8225	65.02583333333334	54.946666666666665	57.47833333333333	56.32749999999999	61.32750000000001	54.45666666666667	59.4375	31.0	5.0	11.5
2015-02-01	45.17416666666667	57.9125	63.303333333333335	53.6225	56.07416666666666	53.39083333333334	59.46	51.52333333333333	56.432500000000005	1.0	6.0	11.5
